波次ID,天数,时段,回合,宠物ID,名称(自动),元素(自动),怪物定位(自动),HP(自动),攻(自动),防(自动),盾(自动),行动(自动),数量,位置,本行威胁(自动),设计目的,失败惩罚,奖励影响,备注
wave_d06_afternoon,6,下午,4,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,开始出现多机制同波压场，测试整体阵容厚度。 把奖励题升级成真正的阵容完整性检查。,城堡-3 / 资源-2 / 经济x0.77,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d06_afternoon,6,下午,5,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,开始出现多机制同波压场，测试整体阵容厚度。 把“拖着清”的代价抬高到不可忽视。,城堡-3 / 资源-2 / 经济x0.77,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,后期第一档门槛题上线，坚固与重生开始进场。 把奖励题升级成真正的阵容完整性检查。,城堡-3 / 资源-2 / 经济x0.78,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,2,pal_029,波霸牛,风,光环怪,25,2,0,6,3,1,back_protected,52,后期第一档门槛题上线，坚固与重生开始进场。 把减行动和群体增益同时压给玩家。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,3,pal_097,寒霜兽,水,限伤怪,40,3,0,6,3,1,front_cluster,70,后期第一档门槛题上线，坚固与重生开始进场。 把战斗从爆发检查扩展到持续处理能力检查。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,4,pal_110,魔渊龙,土,精英怪,50,4,6,6,4,1,escort_backline,100,后期第一档门槛题上线，坚固与重生开始进场。 让玩家感知真正的后期门槛题。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,mid_cluster,65,后期第一档门槛题上线，坚固与重生开始进场。 把召唤题抬到后期门槛难度。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,5,pal_017,瞅什魔,土,肉盾,40,3,0,0,2,1,front_cluster,59,后期第一档门槛题上线，坚固与重生开始进场。 逼玩家拿出真正高攻或增伤组合，不再靠低攻磨掉。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_afternoon,7,下午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把奖励题升级成真正的阵容完整性检查。,城堡-4 / 资源-2 / 经济x0.75,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,2,pal_017,瞅什魔,土,肉盾,40,3,0,0,2,1,front_cluster,59,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 逼玩家拿出真正高攻或增伤组合，不再靠低攻磨掉。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,2,pal_003,皮皮鸡,风,小怪,10,3,0,0,3,1,front_split,34,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把本来可以拖的杂兵变成必须先收的扰动源。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,3,pal_101,雪猛犸,水,精英怪,35,4,0,15,4,1,escort_backline,82,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 逼玩家拿出真正意义上的强杀方案。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,3,pal_097,寒霜兽,水,限伤怪,40,3,0,6,3,1,mid_cluster,70,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把战斗从爆发检查扩展到持续处理能力检查。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,mid_cluster,65,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把召唤题抬到后期门槛难度。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,4,pal_029,波霸牛,风,光环怪,25,2,0,6,3,1,back_protected,52,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把减行动和群体增益同时压给玩家。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,5,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把“拖着清”的代价抬高到不可忽视。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d08_morning,8,上午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,后期主线压力提高，残留怪惩罚显著放大。 把奖励题升级成真正的阵容完整性检查。,城堡-3 / 资源-2 / 经济x0.76,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,2,pal_089,狱焰王,火,精英怪,40,5,0,10,4,1,escort_backline,85,后期主线压力提高，残留怪惩罚显著放大。 把中期阵容的容错空间压到真实战斗水平。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,2,pal_006,冲浪鸭,水,小怪,10,2,0,0,3,1,front_split,31,后期主线压力提高，残留怪惩罚显著放大。 让玩家重视持续性惩罚，而不是只看当前伤害。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,3,pal_110,魔渊龙,土,精英怪,50,4,6,6,4,1,front_cluster,100,后期主线压力提高，残留怪惩罚显著放大。 让玩家感知真正的后期门槛题。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,3,pal_097,寒霜兽,水,限伤怪,40,3,0,6,3,1,mid_cluster,70,后期主线压力提高，残留怪惩罚显著放大。 把战斗从爆发检查扩展到持续处理能力检查。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,mid_cluster,65,后期主线压力提高，残留怪惩罚显著放大。 把召唤题抬到后期门槛难度。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,4,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,后期主线压力提高，残留怪惩罚显著放大。 把“拖着清”的代价抬高到不可忽视。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,5,pal_091,佩克龙,水,肉盾,35,2,0,6,2,1,boss_anchor,57,后期主线压力提高，残留怪惩罚显著放大。 要求玩家把击杀节奏算清楚，避免重生后重新卡线。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_afternoon,8,下午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,半首领级别守门战，第一次大范围高压机制进场。 把奖励题升级成真正的阵容完整性检查。,城堡-4 / 资源-2 / 经济x0.73,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d08_afternoon,8,下午,2,pal_101,雪猛犸,水,精英怪,35,4,0,15,4,1,escort_backline,82,半首领级别守门战，第一次大范围高压机制进场。 逼玩家拿出真正意义上的强杀方案。,城堡-4 / 资源-2 / 经济x0.73,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d08_afternoon,8,下午,2,pal_003,皮皮鸡,风,小怪,10,3,0,0,3,1,front_split,34,半首领级别守门战，第一次大范围高压机制进场。 把本来可以拖的杂兵变成必须先收的扰动源。,城堡-4 / 资源-2 / 经济x0.73,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d08_afternoon,8,下午,3,pal_110,魔渊龙,土,精英怪,50,4,6,6,4,1,front_cluster,100,半首领级别守门战，第一次大范围高压机制进场。 让玩家感知真正的后期门槛题。,城堡-4 / 资源-2 / 经济x0.73,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d08_afternoon,8,下午,3,pal_017,瞅什魔,土,肉盾,40,3,0,0,2,1,mid_cluster,59,半首领级别守门战，第一次大范围高压机制进场。 逼玩家拿出真正高攻或增伤组合，不再靠低攻磨掉。,城堡-4 / 资源-2 / 经济x0.73,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d08_afternoon,8,下午,4,pal_124,混沌骑士,土,Boss,60,5,6,15,5,1,boss_anchor,127,半首领级别守门战，第一次大范围高压机制进场。 在后期把玩家全部解题工具都拉出来检查一遍。,城堡-4 / 资源-2 / 经济x0.73,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d08_afternoon,8,下午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,escort_backline,65,半首领级别守门战，第一次大范围高压机制进场。 把召唤题抬到后期门槛难度。,城堡-4 / 资源-2 / 经济x0.73,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d08_afternoon,8,下午,5,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,半首领级别守门战，第一次大范围高压机制进场。 把“拖着清”的代价抬高到不可忽视。,城堡-4 / 资源-2 / 经济x0.73,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d09_morning,9,上午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,终局前压迫日，要求阵容能稳定处理长战题。 把奖励题升级成真正的阵容完整性检查。,城堡-3 / 资源-3 / 经济x0.74,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d09_morning,9,上午,2,pal_089,狱焰王,火,精英怪,40,5,0,10,4,1,escort_backline,85,终局前压迫日，要求阵容能稳定处理长战题。 把中期阵容的容错空间压到真实战斗水平。,城堡-3 / 资源-3 / 经济x0.74,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d09_morning,9,上午,2,pal_006,冲浪鸭,水,小怪,10,2,0,0,3,1,front_split,31,终局前压迫日，要求阵容能稳定处理长战题。 让玩家重视持续性惩罚，而不是只看当前伤害。,城堡-3 / 资源-3 / 经济x0.74,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d09_morning,9,上午,3,pal_101,雪猛犸,水,精英怪,35,4,0,15,4,1,front_cluster,82,终局前压迫日，要求阵容能稳定处理长战题。 逼玩家拿出真正意义上的强杀方案。,城堡-3 / 资源-3 / 经济x0.74,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d09_morning,9,上午,3,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,mid_cluster,65,终局前压迫日，要求阵容能稳定处理长战题。 把召唤题抬到后期门槛难度。,城堡-3 / 资源-3 / 经济x0.74,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d09_morning,9,上午,4,pal_124,混沌骑士,土,Boss,60,5,6,15,5,1,boss_anchor,127,终局前压迫日，要求阵容能稳定处理长战题。 在后期把玩家全部解题工具都拉出来检查一遍。,城堡-3 / 资源-3 / 经济x0.74,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d09_morning,9,上午,4,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,终局前压迫日，要求阵容能稳定处理长战题。 把“拖着清”的代价抬高到不可忽视。,城堡-3 / 资源-3 / 经济x0.74,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d09_morning,9,上午,5,pal_017,瞅什魔,土,肉盾,40,3,0,0,2,1,mid_cluster,59,终局前压迫日，要求阵容能稳定处理长战题。 逼玩家拿出真正高攻或增伤组合，不再靠低攻磨掉。,城堡-3 / 资源-3 / 经济x0.74,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d09_afternoon,9,下午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,双 Boss 压场演练，测试 10 回合失败线前的清场速度。 把奖励题升级成真正的阵容完整性检查。,城堡-4 / 资源-3 / 经济x0.71,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d09_afternoon,9,下午,2,pal_101,雪猛犸,水,精英怪,35,4,0,15,4,1,escort_backline,82,双 Boss 压场演练，测试 10 回合失败线前的清场速度。 逼玩家拿出真正意义上的强杀方案。,城堡-4 / 资源-3 / 经济x0.71,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d09_afternoon,9,下午,2,pal_017,瞅什魔,土,肉盾,40,3,0,0,2,1,front_cluster,59,双 Boss 压场演练，测试 10 回合失败线前的清场速度。 逼玩家拿出真正高攻或增伤组合，不再靠低攻磨掉。,城堡-4 / 资源-3 / 经济x0.71,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d09_afternoon,9,下午,3,pal_110,魔渊龙,土,精英怪,50,4,6,6,4,1,front_cluster,100,双 Boss 压场演练，测试 10 回合失败线前的清场速度。 让玩家感知真正的后期门槛题。,城堡-4 / 资源-3 / 经济x0.71,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d09_afternoon,9,下午,4,pal_124,混沌骑士,土,Boss,60,5,6,15,5,1,boss_anchor,127,双 Boss 压场演练，测试 10 回合失败线前的清场速度。 在后期把玩家全部解题工具都拉出来检查一遍。,城堡-4 / 资源-3 / 经济x0.71,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d09_afternoon,9,下午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,escort_backline,65,双 Boss 压场演练，测试 10 回合失败线前的清场速度。 把召唤题抬到后期门槛难度。,城堡-4 / 资源-3 / 经济x0.71,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d09_afternoon,9,下午,5,pal_090,狱阎王,火,Boss,70,5,10,10,5,1,boss_anchor,140,双 Boss 压场演练，测试 10 回合失败线前的清场速度。 完整测试 10 回合失败前的残局处理能力。,城堡-4 / 资源-3 / 经济x0.71,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d09_afternoon,9,下午,5,pal_014,玉藻狐,风,偷奖励怪,15,2,0,0,4,1,back_corner,41,双 Boss 压场演练，测试 10 回合失败线前的清场速度。 第一次把高奖励目标和击杀顺序绑定。,城堡-4 / 资源-3 / 经济x0.71,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_morning,10,上午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,最终日预热，要求玩家边控边收尾。 把奖励题升级成真正的阵容完整性检查。,城堡-4 / 资源-3 / 经济x0.72,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d10_morning,10,上午,2,pal_089,狱焰王,火,精英怪,40,5,0,10,4,1,escort_backline,85,最终日预热，要求玩家边控边收尾。 把中期阵容的容错空间压到真实战斗水平。,城堡-4 / 资源-3 / 经济x0.72,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d10_morning,10,上午,2,pal_017,瞅什魔,土,肉盾,40,3,0,0,2,1,front_cluster,59,最终日预热，要求玩家边控边收尾。 逼玩家拿出真正高攻或增伤组合，不再靠低攻磨掉。,城堡-4 / 资源-3 / 经济x0.72,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d10_morning,10,上午,3,pal_101,雪猛犸,水,精英怪,35,4,0,15,4,1,front_cluster,82,最终日预热，要求玩家边控边收尾。 逼玩家拿出真正意义上的强杀方案。,城堡-4 / 资源-3 / 经济x0.72,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d10_morning,10,上午,3,pal_097,寒霜兽,水,限伤怪,40,3,0,6,3,1,mid_cluster,70,最终日预热，要求玩家边控边收尾。 把战斗从爆发检查扩展到持续处理能力检查。,城堡-4 / 资源-3 / 经济x0.72,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d10_morning,10,上午,4,pal_124,混沌骑士,土,Boss,60,5,6,15,5,1,boss_anchor,127,最终日预热，要求玩家边控边收尾。 在后期把玩家全部解题工具都拉出来检查一遍。,城堡-4 / 资源-3 / 经济x0.72,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d10_morning,10,上午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,escort_backline,65,最终日预热，要求玩家边控边收尾。 把召唤题抬到后期门槛难度。,城堡-4 / 资源-3 / 经济x0.72,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d10_morning,10,上午,5,pal_091,佩克龙,水,肉盾,35,2,0,6,2,1,mid_cluster,57,最终日预热，要求玩家边控边收尾。 要求玩家把击杀节奏算清楚，避免重生后重新卡线。,城堡-4 / 资源-3 / 经济x0.72,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d10_morning,10,上午,5,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,最终日预热，要求玩家边控边收尾。 把“拖着清”的代价抬高到不可忽视。,城堡-4 / 资源-3 / 经济x0.72,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d10_afternoon,10,下午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 把奖励题升级成真正的阵容完整性检查。,城堡-5 / 资源-3 / 经济x0.69,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_afternoon,10,下午,2,pal_101,雪猛犸,水,精英怪,35,4,0,15,4,1,escort_backline,82,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 逼玩家拿出真正意义上的强杀方案。,城堡-5 / 资源-3 / 经济x0.69,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_afternoon,10,下午,2,pal_091,佩克龙,水,肉盾,35,2,0,6,2,1,front_cluster,57,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 要求玩家把击杀节奏算清楚，避免重生后重新卡线。,城堡-5 / 资源-3 / 经济x0.69,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_afternoon,10,下午,2,pal_003,皮皮鸡,风,小怪,10,3,0,0,3,1,front_split,34,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 把本来可以拖的杂兵变成必须先收的扰动源。,城堡-5 / 资源-3 / 经济x0.69,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_afternoon,10,下午,3,pal_110,魔渊龙,土,精英怪,50,4,6,6,4,1,front_cluster,100,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 让玩家感知真正的后期门槛题。,城堡-5 / 资源-3 / 经济x0.69,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_afternoon,10,下午,3,pal_097,寒霜兽,水,限伤怪,40,3,0,6,3,1,mid_cluster,70,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 把战斗从爆发检查扩展到持续处理能力检查。,城堡-5 / 资源-3 / 经济x0.69,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_afternoon,10,下午,4,pal_124,混沌骑士,土,Boss,60,5,6,15,5,1,boss_anchor,127,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 在后期把玩家全部解题工具都拉出来检查一遍。,城堡-5 / 资源-3 / 经济x0.69,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_afternoon,10,下午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,escort_backline,65,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 把召唤题抬到后期门槛难度。,城堡-5 / 资源-3 / 经济x0.69,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_afternoon,10,下午,5,pal_090,狱阎王,火,Boss,70,5,10,10,5,1,boss_anchor,140,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 完整测试 10 回合失败前的残局处理能力。,城堡-5 / 资源-3 / 经济x0.69,5回合内高奖；6-10回合每回合-10%；10回合失败,
wave_d10_afternoon,10,下午,5,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,最终压力场，完整测试 5 回合高奖 / 10 回合失败逻辑。 把“拖着清”的代价抬高到不可忽视。,城堡-5 / 资源-3 / 经济x0.69,5回合内高奖；6-10回合每回合-10%；10回合失败,
